Node_A,Node_B,
SM1291   ,SM1195   ,
SM1291   ,SM1364   ,
SM1307   ,SM1364   ,
SM1319   ,SM1346   ,
SM1305   ,SM1307   ,
SM1362   ,SM1380   ,
SM1277   ,SM1364   ,
SM1362   ,SM1381   ,
SM1399   ,SM1417   ,
SM1473   ,SM1508   ,
SM254    ,SM250    ,
SM1249   ,SM1234   ,
SM1234   ,SM1218   ,
SM1220   ,SM1218   ,
SM1556   ,SM1587   ,
SM547    ,SM570    ,
SM570    ,SM582    ,
SM582    ,SM592    ,
SM592    ,SM603    ,
SM617    ,SM610    ,
SM610    ,SM603    ,
SM617    ,SM616    ,
SM617    ,SM625    ,
SM651    ,SM645    ,
SM651    ,SM650    ,
SM651    ,SM659    ,
SM659    ,SM658    ,
SM659    ,SM666    ,
SM666    ,SM665    ,
SM666    ,SM674    ,
SM674    ,SM672    ,
SM674    ,SM683    ,
SM683    ,SM681    ,
SM681    ,SM672    ,
SM650    ,SM658    ,
SM658    ,SM665    ,
SM665    ,SM672    ,
SM650    ,SM644    ,
SM644    ,SM645    ,
SM645    ,SM634    ,
SM634    ,SM625    ,
SM952    ,SM971    ,
SM1028   ,SM1053   ,
SM1037   ,SM1053   ,
SM1063   ,SM1083   ,
SM1096   ,SM1124   ,
SM1181   ,SM1208   ,
SM1193   ,SM1208   ,
SM1237   ,SM1291   ,
SM1291   ,SM1400   ,
SM5543   ,SM5836   ,
SM5836   ,SM6126   ,
SM6126   ,SM6061   ,
SM77     ,SM74     ,
SM74     ,SM72     ,
SM64     ,SM62     ,
SM45     ,SM47     ,
SM47     ,SM49     ,
SM47     ,SM48     ,
SM48     ,SM49     ,
SM48     ,SM50     ,
SM50     ,SM51     ,
SM50     ,SM52     ,
SM48     ,SM44     ,
SM40     ,SM54     ,
SM46     ,SM54     ,
SM54     ,SM52     ,
SM54     ,SM55     ,
SM55     ,SM53     ,
SM55     ,SM56     ,
SM56     ,SM58     ,
SM59     ,SM58     ,
SM58     ,SM60     ,
SM60     ,SM62     ,
SM49     ,SM51     ,
SM51     ,SM53     ,
SM52     ,SM53     ,
SM62     ,SM63     ,
SM890    ,SM901    ,
SM1265   ,SM1400   ,
SM1307   ,SM1400   ,
SM2828   ,SM3186   ,
SM3394   ,SM4998   ,
SM3394   ,SM3966   ,
SM3394   ,SM3663   ,
SM3966   ,SM4753   ,
SM3966   ,SM4491   ,
SM3966   ,SM4260   ,
SM26     ,SM16     ,
SM24     ,SM20     ,
SM93     ,SM95     ,
SM110    ,SM111    ,
SM110    ,SM116    ,
SM110    ,SM118    ,
SM118    ,SM116    ,
SM118    ,SM121    ,
SM121    ,SM125    ,
SM125    ,SM132    ,
SM132    ,SM139    ,
SM139    ,SM148    ,
SM148    ,SM153    ,
SM153    ,SM158    ,
SM158    ,SM166    ,
SM260    ,SM268    ,
SM322    ,SM318    ,
SM322    ,SM327    ,
SM322    ,SM324    ,
SM491    ,SM487    ,
SM491    ,SM498    ,
SM498    ,SM506    ,
SM506    ,SM514    ,
SM506    ,SM530    ,
SM530    ,SM527    ,
SM530    ,SM535    ,
SM535    ,SM542    ,
SM535    ,SM540    ,
SM830    ,SM826    ,
SM783    ,SM780    ,
SM783    ,SM775    ,
SM95     ,SM96     ,
SM96     ,SM98     ,
SM98     ,SM99     ,
SM99     ,SM102    ,
SM126    ,SM129    ,
SM126    ,SM130    ,
SM113    ,SM115    ,
SM113    ,SM111    ,
SM119    ,SM115    ,
SM119    ,SM123    ,
SM123    ,SM128    ,
SM138    ,SM128    ,
SM138    ,SM142    ,
SM272    ,SM277    ,
SM272    ,SM268    ,
SM305    ,SM300    ,
SM305    ,SM311    ,
SM311    ,SM316    ,
SM316    ,SM318    ,
SM327    ,SM331    ,
SM487    ,SM480    ,
SM480    ,SM476    ,
SM514    ,SM516    ,
SM527    ,SM523    ,
SM542    ,SM545    ,
SM545    ,SM551    ,
SM791    ,SM789    ,
SM791    ,SM795    ,
SM795    ,SM796    ,
SM826    ,SM821    ,
SM821    ,SM819    ,
SM819    ,SM803    ,
SM819    ,SM806    ,
SM819    ,SM814    ,
SM814    ,SM806    ,
SM814    ,SM811    ,
SM811    ,SM806    ,
SM806    ,SM803    ,
SM803    ,SM799    ,
SM780    ,SM775    ,
SM775    ,SM763    ,
SM533    ,SM544    ,
SM533    ,SM537    ,
SM533    ,SM528    ,
SM528    ,SM521    ,
SM124    ,SM131    ,
SM124    ,SM120    ,
SM120    ,SM114    ,
SM114    ,SM109    ,
SM109    ,SM106    ,
SM103    ,SM106    ,
SM103    ,SM102    ,
SM129    ,SM135    ,
SM130    ,SM134    ,
SM144    ,SM143    ,
SM144    ,SM142    ,
SM223    ,SM221    ,
SM223    ,SM226    ,
SM226    ,SM228    ,
SM228    ,SM231    ,
SM233    ,SM231    ,
SM233    ,SM238    ,
SM233    ,SM235    ,
SM235    ,SM238    ,
SM238    ,SM241    ,
SM244    ,SM241    ,
SM244    ,SM247    ,
SM277    ,SM282    ,
SM290    ,SM284    ,
SM290    ,SM296    ,
SM296    ,SM300    ,
